"categoryID","categoryName","categoryDes"
2,"Literature","Literature is the art of written works. The two most basic written literary categories include fiction and non-fiction"
3,"Fantasy Fiction","Fantasy Fiction could be described as something that contains rudiments that are not realistic. Fantasy usually describes those stories that could not happen in real life."
4,"Horror","Horror fiction is fiction in any medium intended to scare, unsettle, or horrify the audience"
5,"Historical Fiction","Historical fiction is a literary genre where the story takes place in the past."
6,"Magical Realism","Magical realism is a genre of literature that depicts the real world as having an undercurrent of magic or fantasy."
7,"Short Stories","A short story is a piece of prose fiction that typically can be read in one sitting and focuses on a self-contained incident or series of linked incidents, with the intent of evoking a single effect or mood."
8,"Romance","A romance is a narrative genre in literature that involves a mysterious, adventurous, or spiritual story line where the focus is on a quest that involves bravery and strong values"
9,"Comedy","Comedy is a genre of fiction consisting of discourses or works intended to be humorous or amusing by inducing laughter, especially in theatre, film, stand-up comedy, television, radio, books, or any other entertainment medium."
10,"Action",""
11,"Mystery","Mystery fiction is a loosely-defined term that is often used as a synonym of detective fiction which focus on action and gritty realism."
12,"Non-fiction","Nonfiction is a broad genre of writing that encompasses all books that aren't rooted in a fictional narrative. Nonfiction writing can be based in history and biography, it can be instructional, it can offer commentary and humor, and it can ponder philosophical questions."
13,"Family","A family is a group of people related to each other by genetic ties, adoption, marriage, or co-residence. Literature about the family tends to focus on the relationships between family members."
14,"Classsics","A classic is a novel that represents a genre or a writing style, Classics come from all cultures and all years, and classics can reflect a time period, a societal standard or may offer commentary on a subject."
15,"Sports","Sports engagement in physical activity intended to create a benefit to the participant"
16,"Thriller","Thrillers are characterized by fast pacing, frequent action, and resourceful heroes who must thwart the plans of more-powerful and better-equipped villains."
18,"Young-Adult","Young-adult fiction (often abbreviated as YA) is fiction written for, published for, or marketed to adolescents and young adults, roughly ages 13 to 18."
